Topic 0,Topic 1,label
0.03184714,0.9681529,positive
0.0710967,0.9289033,neutral
0.9566362,0.043363787,neutral
0.57998985,0.4200102,positive
0.04470538,0.9552946,negative
0.13040407,0.86959594,neutral
0.3556795,0.6443205,neutral
0.014685131,0.98531485,neutral
0.03911924,0.96088076,positive
0.057929732,0.94207025,neutral
0.015303446,0.9846965,positive
0.95033383,0.04966615,neutral
0.59791434,0.40208572,positive
0.48848668,0.51151335,neutral
0.92462397,0.07537604,positive
0.14927986,0.8507201,neutral
0.14367901,0.85632104,positive
0.93775636,0.0622436,neutral
0.8079428,0.19205722,neutral
0.94045657,0.059543483,negative
0.018142875,0.9818571,negative
0.048749194,0.95125085,neutral
0.029608192,0.9703918,positive
0.04344936,0.95655066,positive
0.024506183,0.97549385,negative
0.6173366,0.3826635,positive
0.049220093,0.9507799,neutral
0.062591724,0.9374083,neutral
0.9518062,0.048193812,neutral
0.5594566,0.44054338,neutral
0.5,0.5,neutral
0.38717002,0.61283,neutral
0.2839385,0.7160615,negative
0.5,0.5,neutral
0.82057935,0.17942066,neutral
0.5,0.5,neutral
0.037430808,0.9625692,neutral
0.948246,0.051754035,neutral
0.046514187,0.95348585,positive
0.02640619,0.9735938,neutral
0.70253646,0.2974636,neutral
0.0248698,0.9751302,neutral
0.31639478,0.6836052,negative
0.07171162,0.92828834,positive
0.08480444,0.9151955,positive
0.12899993,0.87100005,positive
0.012055216,0.9879448,neutral
0.04803732,0.95196265,positive
0.9393251,0.060674906,neutral
0.29781342,0.7021866,neutral
0.108434334,0.8915657,positive
0.14547081,0.8545292,positive
0.13934712,0.8606529,neutral
0.018655902,0.9813441,neutral
0.08508499,0.91491497,neutral
0.04940739,0.9505926,neutral
0.11210289,0.88789713,negative
0.039933767,0.9600662,positive
0.015548995,0.984451,positive
0.05437929,0.9456208,neutral
0.7504425,0.24955752,neutral
0.950338,0.049662005,neutral
0.024479596,0.97552043,positive
0.6632947,0.33670536,positive
0.024504947,0.97549504,neutral
0.022096375,0.9779036,neutral
0.040649366,0.9593506,positive
0.04514141,0.9548586,positive
0.10010716,0.8998928,positive
0.02406685,0.97593313,negative
0.03477973,0.9652203,neutral
0.55743045,0.44256952,neutral
0.01801961,0.9819804,neutral
0.58737046,0.41262957,neutral
0.5,0.5,neutral
0.1339938,0.8660062,neutral
0.015891928,0.9841081,neutral
0.020510837,0.97948915,neutral
0.47541142,0.52458864,positive
0.0637515,0.9362485,neutral
0.41703162,0.58296835,positive
0.0649042,0.93509585,negative
0.9590578,0.040942222,positive
0.060493235,0.93950677,neutral
0.031555094,0.96844494,positive
0.107045695,0.8929543,positive
0.03454299,0.965457,positive
0.22830966,0.7716903,negative
0.02716977,0.9728303,negative
0.6004961,0.39950386,neutral
0.014565732,0.98543423,neutral
0.698576,0.3014241,positive
0.65390015,0.34609985,negative
0.053919345,0.9460807,neutral
0.23786263,0.76213735,neutral
0.26846495,0.731535,neutral
0.012537607,0.9874624,neutral
0.016504364,0.9834956,positive
0.72982544,0.27017462,positive
0.7837141,0.21628584,neutral
0.93932426,0.060675792,neutral
0.671784,0.32821602,neutral
0.9623837,0.03761634,neutral
0.32361844,0.6763815,neutral
0.5325302,0.4674698,neutral
0.3594228,0.6405772,positive
0.03321361,0.9667864,neutral
0.58683914,0.41316086,neutral
0.011186555,0.98881346,neutral
0.08733245,0.9126676,neutral
0.939324,0.060675934,neutral
0.035420056,0.96458,positive
0.7697928,0.23020725,negative
0.013683874,0.98631614,positive
0.91245574,0.08754423,neutral
0.5183161,0.48168388,positive
0.93932694,0.060673118,neutral
0.5,0.5,neutral
0.020842819,0.9791572,neutral
0.30712435,0.6928757,neutral
0.87714773,0.12285229,neutral
0.32398012,0.6760199,neutral
0.86751723,0.13248277,neutral
0.1424734,0.8575266,neutral
0.011876635,0.98812336,neutral
0.9393251,0.06067494,neutral
0.01798958,0.9820104,positive
0.48223498,0.51776505,positive
0.05505388,0.9449461,neutral
0.9393232,0.060676787,neutral
0.013275045,0.9867249,positive
0.5513386,0.4486614,positive
0.8996971,0.10030287,positive
0.9393254,0.060674574,neutral
0.8658481,0.13415185,neutral
0.34868863,0.65131134,positive
0.41288438,0.58711565,positive
0.2587831,0.74121684,neutral
0.06441625,0.9355838,neutral
0.036642496,0.96335757,positive
0.93932426,0.06067579,neutral
0.023567079,0.9764329,negative
0.72605217,0.2739478,neutral
0.029544896,0.9704551,positive
0.9362374,0.06376264,neutral
0.23535474,0.7646453,positive
0.34565553,0.65434444,neutral
0.03304317,0.96695685,positive
0.025481492,0.9745185,positive
0.061940122,0.93805987,positive
0.6582319,0.34176812,neutral
0.5786054,0.4213946,positive
0.03863862,0.96136135,negative
0.10573462,0.8942654,negative
0.05421693,0.945783,positive
0.013947932,0.9860521,neutral
0.023823896,0.9761761,positive
0.32606804,0.67393196,positive
0.025639348,0.9743607,negative
0.029307814,0.9706922,positive
0.4449534,0.55504656,positive
0.11269651,0.8873035,negative
0.954244,0.04575601,neutral
0.7339405,0.26605952,positive
0.827037,0.172963,neutral
0.024001703,0.9759983,positive
0.9399935,0.060006548,positive
0.023813233,0.97618675,positive
0.02106255,0.9789374,positive
0.28196704,0.7180329,neutral
0.023690753,0.97630924,positive
0.04615968,0.9538403,positive
0.010756391,0.9892436,positive
0.038160536,0.9618395,positive
0.032565158,0.9674349,positive
0.6189595,0.38104054,positive
0.03209029,0.9679097,positive
0.42991576,0.5700843,positive
0.36712873,0.63287127,positive
0.012644577,0.9873554,positive
0.9393233,0.060676694,neutral
0.014182878,0.98581713,positive
0.7167056,0.2832944,positive
0.0365025,0.9634975,positive
